0	2.386230	-0.663208	2.386230	-0.663208	0
5	179.362976	-109.403946	62.549194	-2.703979	1.714355	-0.101196	6
10	-25.452515	-22.605469	-6.746033	-28.239044	2.395691	1.013824	17
15	-17.094299	-54.065567	-8.772278	-33.245636	-1.846558	0.727417	6
20	5.819519	-84.080154	12.139893	-27.608307	-1.009216	-2.587006	5
25	50.648804	-79.802826	20.405518	-33.179169	-0.573425	1.013763	8
30	51.674133	-88.545746	16.750793	-29.569351	2.293152	1.722900	7
35	62.583252	-81.092468	17.347717	-37.901199	1.742065	2.158051	2
40	84.473389	-70.281601	32.678711	-45.091553	1.604309	2.925537	15
45	112.151978	-78.288315	16.102539	-25.409424	-1.402222	2.753265	6
50	127.791748	-43.116501	38.828918	-36.658432	-2.956726	0.600891	12
55	154.784607	-32.707748	35.299194	-17.068787	-0.017700	1.337311	5
60	184.067932	-4.529053	31.676392	-21.435333	1.183899	2.807800	7
-5	-26.037720	-117.833237	-12.597595	11.137970	-0.806335	0.416626	6
-10	235.446045	26.097321	18.430603	-15.550568	0.857483	2.131409	9
-15	140.449646	28.325470	63.361450	11.022705	-2.295898	-1.922119	10
-20	127.240784	34.299316	51.773987	6.147034	0.351685	-1.218506	20
-25	117.400513	34.093781	43.072449	15.386658	2.498291	-1.553192	11
-30	97.869141	65.660309	31.078735	40.425476	2.193542	-2.660797	9
-35	73.927063	99.784424	12.250916	23.600708	-2.843201	-2.371155	5
-40	72.442017	130.582367	-10.287415	17.830292	-2.109741	1.175629	11
-45	32.188782	150.680847	-6.339050	24.602570	2.064880	-0.362671	6
-50	15.995300	182.237885	-11.436218	22.868866	2.446838	0.136658	8
-55	-13.435120	214.229523	-17.100220	21.738342	-0.574585	-2.744965	12
-60	-31.728455	248.361206	-25.932983	24.222809	2.397156	-0.613556	5
